"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 17 12:22:41 GMT 2024","Wed Apr 17 12:22:42 GMT 2024","1035","forgotPassword.cy.js","","","","","Cas non passant 3 - Should not reset password",""
"failed","Wed Apr 17 12:24:09 GMT 2024","Wed Apr 17 12:24:18 GMT 2024","8993","signup.cy.js","","","","","should signup - cas passant",""
"passed","Wed Apr 17 12:22:40 GMT 2024","Wed Apr 17 12:22:41 GMT 2024","984","forgotPassword.cy.js","","","","","Cas non passant 2 - Should not reset password",""
"passed","Wed Apr 17 12:23:36 GMT 2024","Wed Apr 17 12:24:09 GMT 2024","32587","signup.cy.js","","","","","should not signup - cas non passant 4",""
"passed","Wed Apr 17 12:22:38 GMT 2024","Wed Apr 17 12:22:40 GMT 2024","2210","forgotPassword.cy.js","","","","","Cas non passant 1 - Should not reset password",""
"broken","Wed Apr 17 12:22:46 GMT 2024","Wed Apr 17 12:22:59 GMT 2024","13045","schedule A workshop","","","","","Succes should schedule a workshop",""
"passed","Wed Apr 17 12:23:34 GMT 2024","Wed Apr 17 12:23:36 GMT 2024","1819","signup.cy.js","","","","","should not signup - cas non passant 3",""
"failed","Wed Apr 17 12:23:06 GMT 2024","Wed Apr 17 12:23:14 GMT 2024","7634","signing.cy.js","","","","","should signing - cas passant",""
"passed","Wed Apr 17 12:23:04 GMT 2024","Wed Apr 17 12:23:05 GMT 2024","1056","signing.cy.js","","","","","should not signing - cas non passant 2",""
"passed","Wed Apr 17 12:23:05 GMT 2024","Wed Apr 17 12:23:06 GMT 2024","1087","signing.cy.js","","","","","should not signing - cas non passant 3",""
"passed","Wed Apr 17 12:23:33 GMT 2024","Wed Apr 17 12:23:34 GMT 2024","1864","signup.cy.js","","","","","should not signup - cas non passant 2",""
"broken","Wed Apr 17 12:24:21 GMT 2024","Wed Apr 17 12:24:34 GMT 2024","12822","SingInUsingLinkedIn.cy.js","","","","","Sing in with LinkedIn",""
"passed","Wed Apr 17 12:23:30 GMT 2024","Wed Apr 17 12:23:33 GMT 2024","2356","signup.cy.js","","","","","should not signup - cas non passant 1",""
"passed","Wed Apr 17 12:24:36 GMT 2024","Wed Apr 17 12:24:39 GMT 2024","2192","YoutrainersUrl.cy.js","","","","","visit staging.youtrainers.com",""
"passed","Wed Apr 17 12:22:42 GMT 2024","Wed Apr 17 12:22:43 GMT 2024","1031","forgotPassword.cy.js","","","","","Cas passant - Should reset password",""
"broken","Wed Apr 17 12:23:16 GMT 2024","Wed Apr 17 12:23:27 GMT 2024","11289","signinThenSignout.cy.js","","","","","sign in Then Sign out",""
"passed","Wed Apr 17 12:23:02 GMT 2024","Wed Apr 17 12:23:04 GMT 2024","1645","signing.cy.js","","","","","should not signing - cas non passant 1",""
