"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 13 15:33:47 CEST 2024","Sat Apr 13 15:33:50 CEST 2024","3151","signup.cy.js","","","","","should not signup - cas non passant 1",""
"passed","Sat Apr 13 15:32:54 CEST 2024","Sat Apr 13 15:32:55 CEST 2024","1168","forgotPassword.cy.js","","","","","Cas non passant 2 - Should not reset password",""
"passed","Sat Apr 13 15:33:50 CEST 2024","Sat Apr 13 15:33:52 CEST 2024","1875","signup.cy.js","","","","","should not signup - cas non passant 2",""
"passed","Sat Apr 13 15:33:52 CEST 2024","Sat Apr 13 15:33:54 CEST 2024","1979","signup.cy.js","","","","","should not signup - cas non passant 3",""
"broken","Sat Apr 13 15:33:02 CEST 2024","Sat Apr 13 15:33:16 CEST 2024","14078","schedule A workshop","","","","","Succes should schedule a workshop",""
"passed","Sat Apr 13 15:33:21 CEST 2024","Sat Apr 13 15:33:22 CEST 2024","1352","signing.cy.js","","","","","should not signing - cas non passant 2",""
"passed","Sat Apr 13 15:32:55 CEST 2024","Sat Apr 13 15:32:58 CEST 2024","2596","forgotPassword.cy.js","","","","","Cas non passant 3 - Should not reset password",""
"passed","Sat Apr 13 15:33:54 CEST 2024","Sat Apr 13 15:33:56 CEST 2024","1816","signup.cy.js","","","","","should not signup - cas non passant 4",""
"passed","Sat Apr 13 15:33:22 CEST 2024","Sat Apr 13 15:33:24 CEST 2024","1269","signing.cy.js","","","","","should not signing - cas non passant 3",""
"broken","Sat Apr 13 15:34:07 CEST 2024","Sat Apr 13 15:34:22 CEST 2024","14776","SingInUsingLinkedIn.cy.js","","","","","Sing in with LinkedIn",""
"passed","Sat Apr 13 15:34:24 CEST 2024","Sat Apr 13 15:34:27 CEST 2024","2481","YoutrainersUrl.cy.js","","","","","visit staging.youtrainers.com",""
"passed","Sat Apr 13 15:33:18 CEST 2024","Sat Apr 13 15:33:21 CEST 2024","2522","signing.cy.js","","","","","should not signing - cas non passant 1",""
"passed","Sat Apr 13 15:16:25 CEST 2024","Sat Apr 13 15:16:27 CEST 2024","2530","testUrl.cy.js","","","","","visit staging.youtrainers.com",""
"passed","Sat Apr 13 15:33:24 CEST 2024","Sat Apr 13 15:33:26 CEST 2024","2417","signing.cy.js","","","","","should signing - cas passant",""
"passed","Sat Apr 13 15:32:58 CEST 2024","Sat Apr 13 15:32:59 CEST 2024","1275","forgotPassword.cy.js","","","","","Cas passant - Should reset password",""
"failed","Sat Apr 13 15:33:56 CEST 2024","Sat Apr 13 15:34:05 CEST 2024","8733","signup.cy.js","","","","","should signup - cas passant",""
"passed","Sat Apr 13 15:32:51 CEST 2024","Sat Apr 13 15:32:54 CEST 2024","2913","forgotPassword.cy.js","","","","","Cas non passant 1 - Should not reset password",""
"broken","Sat Apr 13 15:33:29 CEST 2024","Sat Apr 13 15:33:44 CEST 2024","15593","signinThenSignout.cy.js","","","","","sign in Then Sign out",""
